Date,Close,High,Low,Open,Volume
2010-01-06,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-01-07,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-01-08,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-01-11,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-01-12,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-01-13,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-01-14,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-01-15,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-01-18,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-01-19,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-01-20,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-01-21,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-01-22,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-01-26,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-01-27,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-01-28,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-01-29,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-02-01,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-02-02,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-02-03,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-02-04,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-02-05,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-02-08,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-02-09,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-02-10,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-02-11,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-02-12,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-02-17,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-02-18,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-02-19,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-02-22,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-02-23,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-02-24,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-02-25,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-02-26,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-03-01,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-03-02,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-03-03,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-03-04,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
2010-03-05,0.6593542695045471,0.6593542695045471,0.6593542695045471,0.6593542695045471,0
