date,pair,ON,PN,target_weight_on,target_weight_pn,weight_on_before_trade,weight_pn_before_trade,weight_on,weight_pn,on_quantity,pn_quantity,on_average_cost,pn_average_cost,on_value,pn_value,cash,strategy_value,strategy_return,signal,traded,trade_direction,gross_sale_value,gross_buy_value,transaction_cost,realized_pnl,tax_paid,accumulated_loss,on_unrealized_pnl,pn_unrealized_pnl,on_quantity_before_trade,pn_quantity_before_trade,on_average_cost_before_trade,pn_average_cost_before_trade,strategy_cumulative_return,spread,spread_mean,spread_std,z_score,policy_group,policy_explanation,benchmark_50_50_value,benchmark_50_50_return,benchmark_50_50_cumulative_return,benchmark_50_50_weight_on,benchmark_50_50_weight_pn,ibovespa_value,ibovespa_return,ibovespa_cumulative_return,company,strategy_minus_50_50,strategy_minus_ibovespa,benchmark_50_50_minus_ibovespa
2020-01-02,ITUB,18.95384407043457,23.18364143371582,0.5,0.5,0.5,0.5,0.5,0.5,0.026379873029552473,0.021566931210075274,18.95384407043457,23.18364143371582,0.5,0.5,0.0,1.0,0.0,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026379873029552473,0.021566931210075274,18.95384407043457,23.18364143371582,0.0,-0.20144015507159097,-0.19801688911480686,0.011282515722324029,-0.3034133557652126,defensive_rotation,Weak or unclear statistical evidence. The strategy stays close to the passive 50/50 benchmark.,3.5603385825011236,0.021592784797792808,2.5603385825011236,0.5377810667646183,0.46221893323538177,1.6830563086400476,0.022498361560484126,0.6830563086400476,ITUB,-2.5603385825011236,-0.6830563086400476,1.877282273861076
2020-01-03,ITUB,18.79686164855957,22.939788818359375,0.5,0.5,0.50056429264844,0.49943570735155995,0.50056429264844,0.49943570735155995,0.026379873029552473,0.021566931210075274,18.95384407043457,23.18364143371582,0.4958588236430658,0.4947408474192106,0.0,0.9905996710622764,-0.009400328937723579,return_to_50_50,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,-0.004141176356934141,-0.005259152580789401,0.026379873029552473,0.021566931210075274,18.95384407043457,23.18364143371582,-0.009400328937723579,-0.19918298351950714,-0.1979363622013748,0.011184565188496228,-0.11145907749856286,defensive_rotation,Weak or unclear statistical evidence. The strategy stays close to the passive 50/50 benchmark.,3.5271709942388725,-0.009315852269013991,2.5271709942388725,0.5383420896643386,0.46165791033566134,1.6707640771600119,-0.007303517664223769,0.6707640771600119,ITUB,-2.536571323176596,-0.6801644060977354,1.8564069170788606
2020-01-06,ITUB,18.605003356933594,22.598398208618164,0.5,0.5,0.5017479101947792,0.49825208980522084,0.5017479101947792,0.49825208980522084,0.026379873029552473,0.021566931210075274,18.95384407043457,23.18364143371582,0.4907976262703057,0.48737809962315626,0.0,0.978175725893462,-0.01254184261487945,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,-0.009202373729694253,-0.01262190037684375,0.026379873029552473,0.021566931210075274,18.95384407043457,23.18364143371582,-0.021824274106537978,-0.19444848581121033,-0.19789330824822438,0.01115866868299536,0.30871267306857114,defensive_rotation,Weak or unclear statistical evidence. The strategy stays close to the passive 50/50 benchmark.,3.483556721605424,-0.012365227743334817,2.483556721605424,0.5395185380724759,0.46048146192752415,1.6589970333991,-0.007042911636521154,0.6589970333991,ITUB,-2.505380995711962,-0.680821307505638,1.824559688206324
2020-01-07,ITUB,18.244525909423828,22.07413673400879,0.5,0.5,0.5027246230957645,0.4972753769042355,0.5027246230957645,0.4972753769042355,0.026379873029552473,0.021566931210075274,18.95384407043457,23.18364143371582,0.48128827697498094,0.47607138846416325,0.0,0.9573596654391442,-0.021280491739155027,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,-0.018711723025019035,-0.023928611535836766,0.026379873029552473,0.021566931210075274,18.95384407043457,23.18364143371582,-0.04264033456085581,-0.1905415548123015,-0.19783145420312806,0.01113426791932129,0.6547264214988392,defensive_rotation,Weak or unclear statistical evidence. The strategy stays close to the passive 50/50 benchmark.,3.4099280369078038,-0.021136065975606577,2.4099280369078038,0.5404890182371284,0.4595109817628717,1.6559310726604306,-0.0018480809048750935,0.6559310726604306,ITUB,-2.4525683714686597,-0.6985714072212864,1.7539969642473732
2020-01-08,ITUB,18.05847930908203,21.71446418762207,0.5,0.5,0.5042691228625205,0.49573087713747954,0.5042691228625205,0.49573087713747954,0.026379873029552473,0.021566931210075274,18.95384407043457,23.18364143371582,0.47638039128038445,0.46831435539808824,0.0,0.9446947466784728,-0.013229008091605765,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,-0.02361960871961553,-0.03168564460191174,0.026379873029552473,0.021566931210075274,18.95384407043457,23.18364143371582,-0.05530525332152725,-0.1843632486352793,-0.1976922894405225,0.011004075179138793,1.211282237557955,defensive_rotation,Weak or unclear statistical evidence. The strategy stays close to the passive 50/50 benchmark.,3.3656031349412716,-0.012998779295860685,2.3656031349412716,0.5420230776794865,0.4579769223205134,1.6500404536486353,-0.0035572851485486945,0.6500404536486353,ITUB,-2.4209083882627986,-0.7053457069701625,1.7155626812926363
2020-01-09,ITUB,17.88986587524414,21.28163146972656,0.0,1.0,0.5069571077268492,0.4930428922731508,0.0,1.0,0.0,0.043698198219181375,0.0,22.23113303303054,0.0,0.9299689503916794,-5.551115123125783e-17,0.9299689503916793,-0.015587888403708283,overweight_pn,True,sell_on_buy_pn,0.47193239030466405,0.4709894684459135,0.0009429218587505776,-0.028539542085640635,0.0,0.0,0.0,-0.04149150752268003,0.026379873029552473,0.021566931210075274,18.95384407043457,23.18364143371582,-0.07003104960832074,-0.17360992804412456,-0.197609219137843,0.011025432493205376,2.176721059106609,defensive_rotation,Weak or unclear statistical evidence. The strategy stays close to the passive 50/50 benchmark.,3.317846134900965,-0.014189730079729124,2.317846134900965,0.5446911867227086,0.45530881327729145,1.6457821748449277,-0.0025807117603035,0.6457821748449277,ITUB,-2.3878771845092857,-0.7158132244532485,1.6720639600560372
2020-01-10,ITUB,17.674745559692383,21.09264755249023,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.043698198219181375,0.0,22.23113303303054,0.0,0.921710693716049,-5.551115123125783e-17,0.9217106937160489,-0.008880142366207266,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04974976419831046,0.0,0.043698198219181375,0.0,22.23113303303054,-0.07828930628395114,-0.17678770634095908,-0.19745443331413617,0.011087541342839123,1.8639594057996163,defensive_rotation,Weak or unclear statistical evidence. The strategy stays close to the passive 50/50 benchmark.,3.28270033486612,-0.010592956576599644,2.28270033486612,0.5439029778549002,0.45609702214509973,1.6394799222154406,-0.0038293358172267755,0.6394799222154406,ITUB,-2.360989641150071,-0.7177692284993917,1.6432204126506793
2020-01-13,ITUB,17.924753189086914,21.373083114624023,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.043698198219181375,0.0,22.23113303303054,0.0,0.933965222497879,-5.551115123125783e-17,0.9339652224978789,0.013295417819688904,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03749523541648044,0.0,0.043698198219181375,0.0,22.23113303303054,-0.06603477750212106,-0.17594971465114373,-0.19731228352881108,0.011122045474882552,1.920741011706117,defensive_rotation,Weak or unclear statistical evidence. The strategy stays close to the passive 50/50 benchmark.,3.327861944973481,0.013757457428475117,2.327861944973481,0.5441108529123279,0.45588914708767225,1.6653418688166244,0.015774482048085403,0.6653418688166244,ITUB,-2.3938967224756023,-0.7313766463187454,1.6625200761568568
2020-01-14,ITUB,17.837539672851562,21.373083114624023,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.043698198219181375,0.0,22.23113303303054,0.0,0.933965222497879,-5.551115123125783e-17,0.9339652224978789,0.0,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03749523541648044,0.0,0.043698198219181375,0.0,22.23113303303054,-0.06603477750212106,-0.18082712502672882,-0.19721028366623022,0.011199666259700092,1.4628256110142446,defensive_rotation,Weak or unclear statistical evidence. The strategy stays close to the passive 50/50 benchmark.,3.31905179498706,-0.002647390466340771,2.31905179498706,0.5429007326698265,0.4570992673301735,1.669699507459085,0.002616663115277973,0.669699507459085,ITUB,-2.385086572489181,-0.7357342849612061,1.6493522875279751
2020-01-15,ITUB,17.581716537475586,21.11094856262207,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.043698198219181375,0.0,22.23113303303054,0.0,0.9225104148844013,-5.551115123125783e-17,0.9225104148844012,-0.012264704656605896,hold_previous_allocation,False,no_trade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0489500430299581,0.0,0.043698198219181375,0.0,22.23113303303054,-0.07748958511559878,-0.1829322661443138,-0.19708748491628003,0.011209009596086525,1.2628429524146667,defensive_rotation,Weak or unclear statistical evidence. The strategy stays close to the passive 50/50 benchmark.,3.2746017827617644,-0.013392382816210024,2.2746017827617644,0.5423782748542152,0.4576217251457848,1.6524108955160324,-0.010354325353645333,0.6524108955160324,ITUB,-2.352091367877363,-0.7299004806316312,1.622190887245732
